hours,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,0.06,0.04,0.03,0.04,0.05,0.06,0.07
1,0.04,0.03,0.03,0.03,0.03,0.04,0.04
2,0.04,0.02,0.02,0.02,0.03,0.02,0.03
3,0,0,0,0,0.01,0,0
4,0,0,0,0,0,0,0
5,0,0.06,0.08,0.06,0.07,0.04,0
6,0,0.24,0.28,0.26,0.26,0.17,0
7,0,0.39,0.49,0.45,0.45,0.3,0.02
8,0.01,0.42,0.53,0.48,0.48,0.32,0.05
9,0.04,0.25,0.33,0.3,0.31,0.22,0.09
10,0.08,0.16,0.21,0.2,0.21,0.19,0.15
11,0.13,0.15,0.18,0.19,0.19,0.21,0.2
12,0.16,0.16,0.19,0.2,0.21,0.25,0.23
13,0.17,0.16,0.19,0.2,0.2,0.27,0.23
14,0.16,0.23,0.28,0.29,0.3,0.38,0.22
15,0.15,0.3,0.39,0.39,0.42,0.48,0.21
16,0.15,0.36,0.46,0.46,0.5,0.51,0.2
17,0.15,0.43,0.54,0.54,0.58,0.5,0.19
18,0.13,0.28,0.37,0.36,0.41,0.33,0.17
19,0.1,0.14,0.18,0.17,0.21,0.19,0.13
20,0.09,0.1,0.11,0.12,0.14,0.13,0.11
21,0.07,0.08,0.09,0.11,0.12,0.12,0.1
22,0.06,0.06,0.08,0.09,0.11,0.11,0.1
23,0.05,0.04,0.05,0.07,0.08,0.1,0.09
